Date,Adj Close,Capital Gains,Close,Dividends,High,Low,Open,Stock Splits,Volume
2010-03-11,0.600863993,0,0.66049999,0,0.66049999,0.642499983,0.642499983,0,3702000
2010-03-12,0.586005807,0,0.644167006,0,0.665332973,0.644167006,0.661000013,0,4548000
2010-03-15,0.567507446,0,0.623833001,0,0.638000011,0.614166975,0.631166995,0,534000
2010-03-16,0.613600016,0,0.674499989,0,0.675167024,0.630666971,0.631667018,0,1260000
2010-03-17,0.635735929,0,0.698832989,0,0.707000017,0.686167002,0.699999988,0,2610000
2010-03-18,0.620270908,0,0.681833029,0,0.700833023,0.672167003,0.698832989,0,1584000
2010-03-19,0.592069983,0,0.650833011,0,0.673667014,0.639666975,0.673332989,0,1596000
2010-03-22,0.634826124,0,0.697833002,0,0.700332999,0.634333014,0.638000011,0,3804000
2010-03-23,0.675763249,0,0.742833018,0,0.745500028,0.707333028,0.707666993,0,6114000
2010-03-24,0.638314068,0,0.701667011,0,0.73566699,0.698000014,0.73566699,0,2034000
2010-03-25,0.635129988,0,0.698167026,0,0.742500007,0.69749999,0.731999993,0,2034000
2010-03-26,0.625123322,0,0.687166989,0,0.720499992,0.673500001,0.716832995,0,2322000
2010-03-29,0.641953051,0,0.705667019,0,0.713666975,0.700667024,0.709333003,0,1380000
2010-03-30,0.654233813,0,0.719166994,0,0.726666987,0.698167026,0.716666996,0,1920000
2010-03-31,0.644075274,0,0.708000004,0,0.730000019,0.704167008,0.724667013,0,1080000
2010-04-01,0.646197438,0,0.71033299,0,0.757166982,0.698499978,0.727832973,0,1644000
2010-04-05,0.700932086,0,0.770500004,0,0.773333013,0.69016701,0.737333,0,1500000
2010-04-06,0.690318704,0,0.758832991,0,0.769667029,0.747166991,0.75583303,0,1998000
2010-04-07,0.697141528,0,0.766332984,0,0.782167017,0.741832972,0.762832999,0,3414000
2010-04-08,0.67242825,0,0.739166975,0,0.752499998,0.714667022,0.752499998,0,4470000
2010-04-09,0.690318704,0,0.758832991,0,0.759167016,0.730666995,0.747667015,0,1254000
2010-04-12,0.707603097,0,0.777832985,0,0.797500014,0.76116699,0.770332992,0,2400000
2010-04-13,0.721248806,0,0.792832971,0,0.79666698,0.772167027,0.782167017,0,2904000
2010-04-14,0.81403929,0,0.894833028,0,0.897666991,0.842000008,0.842000008,0,6504000
2010-04-15,0.821014106,0,0.902499974,0,0.92316699,0.892332971,0.910833001,0,12666000
