Date,Adj Close,Capital Gains,Close,Dividends,High,Low,Open,Stock Splits,Volume
2010-02-11,0.205581963,0,0.216276005,0,0.217447996,0.202785999,0.203437999,0,6912000
2010-02-12,0.206423193,0,0.217161,0,0.219035998,0.209167004,0.210391,0,17203200
2010-02-16,0.21441929,0,0.225573003,0,0.226093993,0.218776003,0.222266003,0,19238400
2010-02-17,0.21805796,0,0.229401007,0,0.229452997,0.225155994,0.228594005,0,38361600
2010-02-18,0.222191945,0,0.233750001,0,0.235129997,0.227786005,0.229166999,0,77721600
2010-02-19,0.222191945,0,0.233750001,0,0.236797005,0.230390996,0.232161,0,92966400
2010-02-22,0.220632046,0,0.232108995,0,0.236509994,0.229479,0.236509994,0,50995200
2010-02-23,0.212018147,0,0.223047003,0,0.232082993,0.219973996,0.230832994,0,82252800
2010-02-24,0.21842961,0,0.229791999,0,0.232421994,0.225755006,0.226979002,0,70617600
2010-02-25,0.218305111,0,0.229661003,0,0.231224,0.217995003,0.222448006,0,91238400
2010-02-26,0.221028447,0,0.232526004,0,0.233490005,0.226719007,0.228983998,0,57600000
2010-03-01,0.230509296,0,0.242500007,0,0.243489996,0.235468999,0.235468999,0,28454400
2010-03-02,0.231895164,0,0.243957996,0,0.249219,0.243306994,0.244635001,0,48422400
2010-03-03,0.23318316,0,0.245313004,0,0.248827994,0.242943004,0.246693,0,47961600
2010-03-04,0.235757291,0,0.248021007,0,0.248358995,0.242344007,0.246171996,0,29452800
2010-03-05,0.246178225,0,0.258983999,0,0.260129988,0.251953006,0.253307015,0,26880000
2010-03-08,0.247490898,0,0.260365009,0,0.262239993,0.259218991,0.259218991,0,25344000
2010-03-09,0.251872003,0,0.264973998,0,0.269035995,0.258724004,0.258931994,0,46425600
2010-03-10,0.258035451,0,0.271458,0,0.273072988,0.265156001,0.265338987,0,40089600
2010-03-11,0.260411769,0,0.273957998,0,0.274349004,0.268020988,0.269818008,0,53913600
2010-03-12,0.261005878,0,0.274583012,0,0.276978999,0.271432012,0.276978999,0,36134400
2010-03-15,0.259248197,0,0.272733986,0,0.274608999,0.266927004,0.272760004,0,42393600
2010-03-16,0.264150351,0,0.27789101,0,0.27867201,0.272552013,0.275417,0,46579200
2010-03-17,0.265982032,0,0.279817998,0,0.283775985,0.277500004,0.27867201,0,39820800
2010-03-18,0.268679678,0,0.282656014,0,0.283542007,0.278932005,0.280781001,0,52185600
2010-03-19,0.263926923,0,0.277655989,0,0.285755008,0.274688005,0.277655989,0,40051200
2010-03-22,0.271056056,0,0.285156012,0,0.288489997,0.273359001,0.274401009,0,58790400
2010-03-23,0.276725203,0,0.291119993,0,0.291745007,0.282656014,0.287108988,0,55334400
2010-03-24,0.272788972,0,0.28697899,0,0.289687991,0.285156012,0.289063007,0,89241600
2010-03-25,0.271080852,0,0.285181999,0,0.297057003,0.284947991,0.293983996,0,93926400
2010-03-26,0.272492379,0,0.286666989,0,0.292160988,0.282160997,0.289245009,0,84288000
2010-03-29,0.276229948,0,0.290598989,0,0.293567985,0.28846401,0.290989995,0,38054400
2010-03-30,0.279126287,0,0.293646008,0,0.296171993,0.287681997,0.292995006,0,39897600
2010-03-31,0.275363952,0,0.289687991,0,0.294270992,0.287681997,0.29036501,0,59558400
2010-04-01,0.274819314,0,0.289115012,0,0.298516005,0.282629997,0.292917013,0,116620800
2010-04-05,0.282765001,0,0.297473997,0,0.299219012,0.289063007,0.291224003,0,67584000
2010-04-06,0.284919024,0,0.299739987,0,0.302448004,0.293332994,0.295208007,0,58713600
2010-04-07,0.283309668,0,0.298047006,0,0.301979005,0.292838991,0.298723996,0,106252800
2010-04-08,0.284324884,0,0.299115002,0,0.300859004,0.290520996,0.295026004,0,69657600
2010-04-09,0.28944841,0,0.304504991,0,0.305233985,0.297785997,0.300103992,0,58099200
2010-04-12,0.290611804,0,0.305729002,0,0.308073014,0.303541988,0.305546999,0,48806400
2010-04-13,0.294993818,0,0.310339004,0,0.310833007,0.301979005,0.304740012,0,67238400
2010-04-14,0.30539009,0,0.321276009,0,0.321536005,0.314114988,0.31476599,0,61094400
2010-04-15,0.309474587,0,0.325572997,0,0.326770991,0.320650995,0.320937991,0,45772800
2010-04-16,0.298458725,0,0.313984007,0,0.325286001,0.307942986,0.322135001,0,129484800
2010-04-19,0.2979891,0,0.313490003,0,0.316354007,0.302082986,0.311042011,0,112742400
2010-04-20,0.302394837,0,0.31812501,0,0.320313007,0.31239599,0.318358988,0,56102400
2010-04-21,0.307717025,0,0.323724002,0,0.326483995,0.317707986,0.324582994,0,83980800
